id,id_disciplina,id_professor
1,CDS0019,11
2,CET0012,16
3,CET0012,17
4,CET0013,15
5,CET0014,18
6,CET0022,19
7,CET0032,13
8,CET0036,20
9,CET0037,20
10,CET0038,21
11,CET0039,19
12,CET0040,18
13,CET0041,22
14,CET0041,23
15,CET0042,20
16,CET0043,12
17,CET0044,24
18,CET0045,25
19,CET0046,26
20,CET0046,21
21,CET0050,22
22,CET0051,21
23,CET0052,22
24,CET0053,13
25,CET0054,24
26,CET0055,21
27,CEM0005,27
28,CEM0005,28
29,CEM0015,38
30,CEM0015,38
31,CEM0018,39
32,CEM0018,40
33,CEM0018,40
34,CEM0018,39
35,CEM0018,39
36,CEM0021,41
37,CEM0021,42
38,CEM0021,43
39,CEM0043,46
40,CEM0047,47
41,CEM0047,48
42,CEM0047,30
43,CEM0047,33
44,CEM0051,49
45,CEM0051,50
46,CEM0051,51
47,CEM0051,52
48,CEM0051,53
49,CEM0051,54
50,CEM0051,55
51,CEM0051,56
52,CEM0051,57
53,CEM0051,58
54,CEM0051,59
55,CEM0054,60
56,CEM0058,61
57,CEM0058,62
58,CEM0110,28
59,CEM0110,33
60,CEM0125,67
61,CEM0129,69
62,CEM0132,71
63,CEM0132,72
64,CBH0002,74
65,DPG0928,89
66,DPG1232,97
67,DEX1108,47
68,DEX1108,103
69,DEX1108,104
70,DEX1108,33
71,DAP0008,105
72,DAP0011,106
73,DAP0021,105
74,DAP0030,107
75,DAP0042,108
76,DAP0042,109
77,DAP0044,107
78,DAP0060,111
79,DAP0067,112
80,DAP0079,113
81,DAP0079,113
82,DAP0084,114
83,DAP0084,114
84,DAP0093,115
85,DAP0093,108
86,DAP0096,116
87,DAP0096,116
88,DAP0096,116
89,DAP0096,117
90,DAP0096,117
91,DAP0098,118
92,DAP0098,118
93,DAP0101,106
94,DAP0101,119
95,DAP0101,120
96,DAP0101,121
97,DAP0103,112
98,DAP0104,122
99,DAP0105,123
100,DAP0107,115
101,DAP0107,108
102,DAP0108,124
103,DAP0110,125
104,DAP0111,125
105,DAP0115,126
106,DAP0115,115
107,DAP0117,124
108,DAP0118,124
109,DAP0120,127
110,DAP0123,128
111,DAP0124,111
112,DAP0125,121
113,DAP0126,128
114,DAP0128,129
115,DAP0128,119
116,DAP0128,130
117,DAP0128,129
118,DAP0130,130
119,DAP0130,120
120,DAP0130,131
121,DAP0130,120
122,DAP0143,132
123,DAP0143,118
124,DAP0145,105
125,DAP0145,133
126,DAP0149,123
127,DAP0154,108
128,DAP0154,109
129,DAP0158,125
130,DAP0164,139
131,DAP0170,140
132,DAP0171,116
133,DAP0172,107
134,DAP0174,125
135,DAP0175,123
136,DAP0176,125
137,COM0006,131
138,COM0007,141
139,COM0127,144
140,COM0128,145
141,COM0129,146
142,COM0130,147
143,COM0131,141
144,COM0132,145
145,COM0132,137
146,COM0133,147
147,COM0134,148
148,COM0135,117
149,COM0136,149
150,COM0137,148
151,COM0138,137
152,COM0139,149
153,COM0140,141
154,COM0141,150
155,COM0141,150
156,COM0142,151
157,COM0142,143
158,COM0143,152
159,COM0144,153
160,COM0145,146
161,COM0146,151
162,COM0146,143
163,COM0147,139
164,COM0147,154
165,COM0148,145
166,COM0148,151
167,COM0149,155
168,COM0150,136
169,COM0151,143
170,COM0151,151
171,COM0152,136
172,COM0152,153
173,COM0152,144
174,COM0153,155
175,COM0153,152
176,DIN0003,156
177,DIN0004,157
178,DIN0011,158
179,DIN0012,159
180,DIN0013,159
181,DIN0020,32
182,DIN0023,160
183,DIN0034,161
184,DIN0037,162
185,DIN0039,163
186,DIN0040,164
187,DIN0041,158
188,DIN0042,164
189,DIN0043,165
190,DIN0043,160
191,DIN0044,161
192,DIN0045,165
193,DIN0045,162
194,DIN0046,163
195,DIN0047,157
196,DIN0049,164
197,DIN0050,157
198,DIN0051,166
199,DIN0052,167
200,DIN0052,168
201,DIN0059,169
202,DIN0059,170
203,DIN0061,170
204,DIN0061,169
205,DIN0063,169
206,DIN0063,170
207,DIN0065,170
208,DIN0065,169
209,DPG0921,176
210,ENM0027,177
211,ENM0066,178
212,ENM0068,179
213,ENM0068,180
214,ENM0068,180
215,ENM0068,181
216,ENM0069,182
217,ENM0070,183
218,ENM0070,183
219,ENM0071,173
220,ENM0071,184
221,ENM0071,184
222,ENM0071,185
223,ENM0071,186
224,ENM0072,187
225,ENM0073,187
226,ENM0076,182
227,ENM0080,188
228,ENM0080,189
229,ENM0080,190
230,ENM0080,190
231,ENM0080,189
232,ENM0080,190
233,ENM0080,189
234,ENM0080,190
235,ENM0080,189
236,ENM0082,171
237,ENM0082,191
238,ENM0082,191
239,ENM0082,171
240,ENM0082,191
241,ENM0083,192
242,ENM0084,193
243,ENM0084,193
244,ENM0084,193
245,ENM0084,193
246,ENM0090,194
247,ENM0090,194
248,ENM0090,194
249,ENM0091,195
250,ENM0091,195
251,ENM0091,195
252,ENM0093,196
253,ENM0093,196
254,ENM0109,199
255,ENM0109,200
256,ENM0109,200
257,ENM0109,199
258,ENM0109,200
259,ENM0109,201
260,ENM0113,202
261,ENM0120,172
262,ENM0120,88
263,ENM0120,174
264,ENM0120,202
265,ENM0121,204
266,ENM0121,205
267,ENM0122,206
268,ENM0123,207
269,ENM0124,206
270,ENM0126,197
271,ENM0126,197
272,ENM0126,208
273,ENM0126,208
274,ENM0126,208
275,ENM0126,208
276,ENM0127,209
277,ENM0127,209
278,ENM0128,210
279,ENM0128,191
280,ENM0129,187
281,ENM0129,193
282,ENM0129,209
283,ENM0129,179
284,ENM0129,202
285,ENM0129,188
286,ENM0129,191
287,ENM0129,180
288,ENM0129,174
289,ENM0129,201
290,ENM0129,173
291,ENM0129,211
292,ENM0129,207
293,ENM0129,183
294,ENM0129,171
295,ENM0129,197
296,ENM0129,175
297,ENM0129,184
298,ENM0129,212
299,ENM0129,198
300,ENM0129,213
301,ENM0129,214
302,ENM0129,203
303,ENM0129,215
304,ENM0129,210
305,ENM0129,200
306,ENM0129,199
307,ENM0129,206
308,ENM0129,195
309,ENM0129,182
310,ENM0129,192
311,ENM0129,172
312,ENM0129,176
313,ENM0129,177
314,ENM0129,216
315,ENM0129,99
316,ENM0129,196
317,ENM0129,213
318,ENM0129,217
319,ENM0129,188
320,ENM0129,178
321,ENM0130,207
322,ENM0130,209
323,ENM0130,199
324,ENM0130,187
325,ENM0130,211
326,ENM0130,193
327,ENM0130,174
328,ENM0130,183
329,ENM0130,201
330,ENM0130,191
331,ENM0130,184
332,ENM0130,175
333,ENM0130,198
334,ENM0130,202
335,ENM0130,206
336,ENM0130,197
337,ENM0130,200
338,ENM0130,188
339,ENM0130,172
340,ENM0130,171
341,ENM0130,192
342,ENM0130,213
343,ENM0130,173
344,ENM0130,180
345,ENM0130,88
346,ENM0130,212
347,ENM0130,179
348,ENM0130,215
349,ENM0130,176
350,ENM0131,218
351,ENM0131,201
352,ENM0131,213
353,ENM0132,201
354,ENM0134,99
355,ENM0140,219
